first_column,California,Washington,Oregon,Nevada,Alaska,Hawaii
Caucasion,38.5,70.4,77,51.5,61.9,26.7
Black,6.5,4.1,2,9.1,3.9,2.5
American Indian,1.7,1.9,1.8,1.6,14.8,0.4
Asian,14.4,8.2,4.3,8.3,6.1,37.5
Native Hawaiian,0.5,0.7,0.4,0.7,1.3,10
Hispanic or Latino,38.6,12.2,12.5,27.8,6.8,10.1
Two or other,3.7,4.5,3.6,4,7.1,23
